distance,correspondanceId,arretId
111,gaitedo1,gaite1
56,gaitedo2,gaite1
198,mozart2,drlaene
101,drlaen1,drlaene
53,drlaen2,drlaene
194,lybrqsu2,lybrequ1
11,lybrequ2,lybrequ1
147,vcentre2,vcentre1
147,vcentre1,vcentre2
194,lybrqsu2,lybrequ2
11,lybrequ1,lybrequ2
17,maingue1,maingue2
38,ptesaud1,ptesaud2
62,cenbruz3,cenbru2
171,hugo2,cenbru2
192,hugo1,cenbru2
17,maingue2,maingue1
38,ptesaud2,ptesaud1
41,stmarti2,stmarti1
188,cimnord1,stmarti1
25,herveri2,herveri1
25,herveri1,herveri2
23,roncera2,roncera1
195,quentin2,vitrfou2
179,quentin1,vitrfou2
164,vitrpeg2,vitrfou2
179,vitrpeg1,vitrfou2
89,vitrfou1,vitrfou2
137,vitrdan1,vitrfou2
191,vitrdan2,vitrfou2
199,quentin1,vitrfou1
146,vitrpeg2,vitrfou1
169,vitrpeg1,vitrfou1
89,vitrfou2,vitrfou1
88,vitrdan1,vitrfou1
127,vitrdan2,vitrfou1
30,genets2,genets1
30,genets1,genets2
13,champal1,champal2
13,champal2,champal1
49,recipon2,recipon1
102,tourneb2,tourneb1
102,tourneb1,tourneb2
105,pacoua2,pacoua1
16,poteri1,popla1
36,poteri2,popla1
184,poteri3,popla1
136,poteri4,popla1
8,potepl2,popla1
105,pacoua1,pacoua2
49,recipon1,recipon2
17,patton1,patton2
30,palissy1,palissy2
30,palissy2,palissy1
17,patton2,patton1
66,foyerre1,foyerre2
66,foyerre2,foyerre1
28,7fours,7fours1
28,plsevig2,plsevig1
57,zola1,ptpastm1
74,ptpaste1,ptpastm1
41,ptpastm2,ptpastm1
199,repjaurn,ptpastm1
132,ppaskl2,ptpastm1
56,zola1,ptpastm2
89,ptpaste1,ptpastm2
41,ptpastm1,ptpastm2
113,ppaskl2,ptpastm2
28,plsevig1,plsevig2
105,eclose2,eclose1
105,eclose1,eclose2
72,styves1,styves2
72,styves2,styves1
35,barbes2,barbes1
35,barbes1,barbes2
33,mageve1,mageve2
33,mageve2,mageve1
33,rdptbra1,rdpbra2
68,alma,alma1
168,alma,alma2
61,mouljgl1,mouljgl2
131,boisper1,mouljgl2
136,mouljml2,mouljgl2
130,mouljml1,mouljgl2
19,eboue2,eboue1
108,cormr1,eboue1
164,cormr2,eboue1
55,pavie1,pavie2
55,pavie2,pavie1
61,mouljgl2,mouljgl1
157,horegn2,mouljgl1
138,boisper1,mouljgl1
197,mouljml2,mouljgl1
191,mouljml1,mouljgl1
61,pilate1,pilate2
61,pilate2,pilate1
83,iutguil2,iutguil1
83,iutguil1,iutguil2
199,repto1,ptnemoun
161,repjof2,ptnemoun
154,repjof3,ptnemoun
171,repjof4,ptnemoun
40,repx2,ptnemoun
31,repwe,ptnemoun
92,repwb,ptnemoun
185,nemours2,ptnemoun
17,ptnemous,ptnemoun
161,repjaurs,ptnemoun
179,repjaurn,ptnemoun
97,repea,ptnemoun
127,repbottb,ptnemoun
117,mairieb,ptnemoun
81,repbottc,ptnemoun
169,repjoffa,ptnemoun
43,restuni2,restuni1
98,bearubc2,restuni1
160,bearubc1,restuni1
43,restuni1,restuni2
82,bearubc2,restuni2
153,bearubc1,restuni2
184,cartier1,ginguen1
19,ginguen2,ginguen1
175,cartier1,ginguen2
200,cartier2,ginguen2
19,ginguen1,ginguen2
62,flume1,flume2
27,cimestm2,cimestm1
61,cimest1,cimestm1
70,cimest2,cimestm1
62,flume2,flume1
19,eboue1,eboue2
127,cormr1,eboue2
180,cormr2,eboue2
64,cxrouve2,cxrouve1
14,maacig1,maacig2
27,cimestm1,cimestm2
81,cimest1,cimestm2
95,cimest2,cimestm2
14,maacig2,maacig1
172,repjof2,ptnemous
164,repjof3,ptnemous
181,repjof4,ptnemous
46,repx2,ptnemous
39,repwe,ptnemous
104,repwb,ptnemous
175,nemours2,ptnemous
17,ptnemoun,ptnemous
175,repjaurs,ptnemous
194,repjaurn,ptnemous
108,repea,ptnemous
133,repbottb,ptnemous
132,mairieb,ptnemous
79,repbottc,ptnemous
180,repjoffa,ptnemous
156,donelie1,troicro2
168,troicro1,troicro2
121,troicx30,troicro2
168,troicro2,troicro1
98,troicx30,troicro1
70,insa1,insa2
70,insa2,insa1
