terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,1791,1939,10,ptchadu1
0,1792,1939,11,bert1
0,1792,1939,12,ptpastm1
1,1793,1939,13,repwb
0,1905,1965,1,closco
0,1906,1965,2,iutguil1
0,1908,1965,3,restuni1
0,1909,1965,4,insa1
0,1909,1965,5,beauec1
0,1910,1965,6,tourneb1
0,1912,1965,7,plbaud1
0,1914,1965,8,ptstras1
0,1915,1965,9,robidou1
0,1916,1965,10,ptchadu1
0,1917,1965,11,bert1
0,1917,1965,12,ptpastm1
1,1918,1965,13,repwb
