id,direction_id,ligne_id,calendrier_id,macro_direction
28491,70,37,33,0
16826,70,37,18,0
14535,39,37,192,0
14514,40,37,18,0
30734,70,37,33,0
26273,40,37,33,0
26245,70,37,33,0
26239,40,37,56,0
24151,40,37,33,0
4066,70,37,33,0
16980,70,37,33,0
30249,40,37,18,0
28081,40,37,33,0
26580,70,37,33,0
30324,40,37,33,0
30399,70,37,56,0
30391,70,37,18,0
14437,70,37,33,0
14452,40,37,56,0
26732,70,37,131,0
28115,70,37,33,0
30525,40,37,18,0
24727,78,38,187,0
22423,55,38,84,0
36,98,38,113,0
12841,78,38,84,0
22187,98,38,113,0
12790,55,38,84,0
7163,55,38,84,0
33225,55,38,84,0
24968,55,38,113,0
12478,98,38,113,0
10098,55,38,113,0
19965,78,38,84,0
33737,98,38,113,0
33822,55,38,113,0
19334,78,38,84,0
1590,98,38,113,0
5830,55,38,84,0
1345,55,38,84,0
1270,78,38,84,0
27563,55,38,84,0
9853,55,38,187,0
27441,55,38,84,0
21449,55,38,187,0
21133,55,38,113,0
27216,55,38,113,0
7321,98,38,113,0
13380,55,38,187,0
13371,78,38,187,0
13301,55,38,187,0
7251,55,38,113,0
13260,78,38,84,0
29967,78,38,187,0
29817,55,38,187,0
25639,98,38,113,0
25387,98,38,113,0
25683,55,38,84,0
23112,55,38,187,0
23177,55,38,113,0
23199,55,38,187,0
13939,55,38,113,0
3235,55,38,113,0
32026,78,38,84,0
8270,98,38,113,0
8177,98,38,113,0
11069,55,38,84,0
32191,55,38,187,0
11291,78,38,84,0
116,55,38,113,0
140,55,38,113,0
2918,78,38,84,0
14071,55,38,84,0
20731,98,38,113,0
16409,78,38,187,0
8674,78,38,187,0
20269,78,38,84,0
8753,78,38,187,0
4474,55,38,187,0
26046,78,38,84,0
12268,78,38,187,0
14513,78,38,84,0
24189,55,38,113,0
26376,78,38,187,0
24200,55,38,84,0
14219,98,38,113,0
6345,78,38,84,0
30406,78,38,187,0
24767,71,43,228,0
10930,71,43,228,0
31345,103,43,228,0
22395,71,43,228,0
31377,71,43,228,0
10718,71,43,232,0
35546,71,43,232,0
24390,103,43,228,0
10621,103,43,228,0
12620,71,43,228,0
12630,103,43,232,0
35228,71,43,228,0
35398,71,43,228,0
35067,103,43,3,0
10080,71,43,232,0
19852,103,43,232,0
19821,71,43,228,0
19997,71,43,228,0
9685,71,43,228,0
9674,103,43,3,0
33632,103,43,232,0
33475,71,43,3,0
2089,71,43,232,0
33997,71,43,228,0
9308,71,43,228,0
10548,71,43,228,0
17338,71,43,232,0
22703,103,43,232,0
10300,103,43,3,0
33824,71,43,228,0
21950,71,43,228,0
19060,103,43,228,0
1622,71,43,232,0
21796,71,43,3,0
19216,103,43,3,0
1512,71,43,3,0
21843,71,43,228,0
19540,71,43,3,0
19537,103,43,3,0
19577,71,43,228,0
5701,71,43,228,0
19420,103,43,228,0
1235,103,43,228,0
1217,71,43,232,0
21355,103,43,232,0
9980,71,43,3,0
9988,103,43,228,0
15099,71,43,228,0
1026,103,43,228,0
13598,103,43,3,0
15821,71,43,232,0
15757,103,43,228,0
29400,71,43,228,0
15628,71,43,3,0
15665,103,43,232,0
25196,71,43,228,0
15658,103,43,228,0
7404,103,43,228,0
5296,103,43,232,0
13302,103,43,232,0
31938,71,43,232,0
13274,103,43,228,0
5026,71,43,3,0
29271,71,43,232,0
5079,103,43,232,0
25244,103,43,228,0
7653,103,43,3,0
23565,71,43,3,0
23477,103,43,228,0
30143,103,43,228,0
23777,71,43,228,0
34574,103,43,232,0
25939,71,43,3,0
13774,103,43,3,0
34095,71,43,232,0
8159,103,43,228,0
32249,71,43,3,0
32377,71,43,3,0
11349,103,43,228,0
3691,103,43,228,0
3699,103,43,228,0
3673,103,43,232,0
198,103,43,232,0
34843,103,43,3,0
34894,103,43,228,0
18665,103,43,228,0
11746,71,43,228,0
2968,103,43,232,0
565,71,43,232,0
32905,71,43,232,0
16020,71,43,3,0
6780,71,43,228,0
4931,71,43,232,0
