id,nom,latitude,longitude
1631,ZA Saint-Sulpice,48.132353,-1.636152
4004,Foyer,48.133958,-1.537791
4950,Miniac Eglise,48.284693,-1.930733
1630,ZA Saint-Sulpice,48.132662,-1.636187
4006,Pont d'Ohin,48.137273,-1.549814
4007,Boulais,48.139094,-1.558744
4953,Miniac Eglise,48.284819,-1.931205
2914,Vieux Bourg,48.036918,-1.697008
2915,Collège Pôle Sud,48.041376,-1.698416
2912,Argoat,48.035455,-1.70627
2913,Cornouaille,48.034611,-1.69941
2701,Janais,48.059075,-1.700988
2918,Callouët,48.041976,-1.711045
2702,Vallon,48.06843,-1.697574
2919,Chartres Centre,48.042323,-1.707466
2916,Auditoire,48.04169,-1.702632
2917,Chartres Centre,48.042349,-1.706501
2705,Bray,48.02908,-1.659799
2706,Molène,48.038455,-1.670722
2704,Janais,48.059279,-1.7013
2709,Louis Texier,48.044053,-1.661183
4002,Verdaudais,48.136905,-1.533137
2911,Parc de Loisirs,48.033268,-1.707228
4003,Acigné Mairie,48.134242,-1.534801
2707,Potiers,48.040768,-1.671907
2708,Centre,48.042386,-1.665537
4001,Timonière,48.137043,-1.526335
2508,Les Pins,48.096835,-1.77559
1662,Gare Sud Féval,48.101462,-1.676188
2507,Barberais,48.097502,-1.781275
1663,Gare,48.104211,-1.670598
2506,Genêts,48.099251,-1.791133
2505,Bouleaux,48.101535,-1.794453
2509,Pont d'Avoine,48.096139,-1.764573
2504,L'Autre Lieu,48.098973,-1.796821
2503,Champs Freslons,48.098908,-1.801395
2502,Lycée Monod,48.100526,-1.806596
2501,Noë Diolé,48.102436,-1.832289
2901,Croix aux Potiers,48.046733,-1.710633
3037,Chantepie Eglise,48.087586,-1.616704
2902,Croix aux Potiers,48.047893,-1.713543
3036,Landes,48.090683,-1.618807
2903,Chaussairie,48.033355,-1.71163
2904,Taillebois,48.037002,-1.712353
3038,Chantepie Eglise,48.087497,-1.616789
2710,Petite Saudrais,48.047169,-1.661203
2905,Callouët,48.042325,-1.712032
2711,Croix Fleurie,48.056658,-1.663721
2906,Croix aux Potiers,48.045906,-1.710086
2712,Mail Lancé,48.06368,-1.66369
2907,Croix aux Potiers,48.045659,-1.710498
2713,Petit Beaulieu,48.068453,-1.665713
2908,Callouët,48.041413,-1.712515
2714,Hil-Bintinais,48.077187,-1.661021
2715,Hil-Bintinais,48.078644,-1.661365
2716,Petit Beaulieu,48.068609,-1.66607
2717,Mail Lancé,48.063637,-1.663952
1660,Clos Courtel,48.12689,-1.629952
2718,Croix Fleurie,48.055987,-1.664262
2719,Petite Saudrais,48.047008,-1.661005
1652,Dulac,48.132848,-1.69573
2517,L'Autre Lieu,48.099367,-1.796733
1653,Dulac,48.133287,-1.69535
2516,Bouleaux,48.101845,-1.79502
1650,La Poterie,48.087481,-1.643137
2519,Lycée Monod,48.100897,-1.806904
1651,Jacques Cartier,48.097202,-1.675197
2518,Champs Freslons,48.099326,-1.802088
1656,Volney,48.125261,-1.667791
1657,Volney,48.125318,-1.667695
1654,Motte Brûlon,48.129576,-1.674167
1655,Motte Brûlon,48.129787,-1.673922
2909,Taillebois,48.036817,-1.712545
1658,Italie,48.0865,-1.667379
2511,Plessix Saucourt,48.103559,-1.751287
2510,Plessix Saucourt,48.10389,-1.75034
2513,Les Pins,48.097012,-1.776051
2512,Pont d'Avoine,48.096246,-1.764714
2515,Genêts,48.099309,-1.790762
2514,Barberais,48.09768,-1.781563
2723,Molène,48.038355,-1.670616
2724,Bray,48.028619,-1.659907
2721,Centre,48.042439,-1.66572
4709,Bout de Lande,47.979926,-1.693073
2722,Potiers,48.040814,-1.672158
4707,Châtaigneraie,47.979287,-1.724331
2720,Louis Texier,48.044129,-1.661407
4708,Gingouillère,47.980092,-1.730909
4705,Laillé Eglise,47.977983,-1.719683
4706,Châtaigneraie,47.97919,-1.724314
4703,Orée du Bois,47.975507,-1.717175
4704,Laillé Eglise,47.978117,-1.72041
2729,Croix de Pierre,48.046972,-1.664678
2930,Constant Mérel,48.031247,-1.709248
4701,Point du Jour,47.978606,-1.712988
4702,Orée du Bois,47.975433,-1.717111
2727,Pont,48.038446,-1.666525
2728,Centre,48.042695,-1.666039
4700,Point du Jour,47.978438,-1.713688
2725,Guyomerais,48.03955,-1.676476
2726,Guyomerais,48.039685,-1.676723
4901,Langan Bourg,48.24538,-1.854062
4900,Langan Bourg,48.245235,-1.853734
2529,Moigné,48.08028,-1.774466
2526,Moigné,48.080424,-1.774424
2525,Haut Plessis,48.078547,-1.771361
2524,Gerhoui,48.091379,-1.78572
2523,Mahomat,48.0941,-1.774098
2522,Mahomat,48.093981,-1.773941
2521,Gerhoui,48.090998,-1.786814
2520,Noë Diolé,48.102463,-1.831087
2732,Pont,48.038628,-1.66691
2927,Parc de Loisirs,48.033169,-1.707484
2733,Côteaux,48.034197,-1.663402
2928,Constant Mérel,48.031429,-1.708755
2734,Côteaux,48.034436,-1.663421
2540,Acquêts,48.09683,-1.79811
2923,Cornouaille,48.034735,-1.699894
2924,Argoat,48.035534,-1.706095
2730,Croix de Pierre,48.046239,-1.664794
2925,Chaussairie,48.033519,-1.711906
2731,Centre,48.04297,-1.666046
2926,Collège Pôle Sud,48.041691,-1.696068
4712,Estuaires,47.974816,-1.69136
2920,Auditoire,48.041536,-1.702871
2921,Collège Pôle Sud,48.041222,-1.69777
2922,Vieux Bourg,48.037057,-1.697209
4710,Bout de Lande,47.979836,-1.693264
4711,Estuaires,47.975394,-1.691403
2539,Acquêts,48.096488,-1.79816
2538,Gaston Bardet,48.102271,-1.787379
2534,Collège Brassens,48.098948,-1.800305
2537,Gaston Bardet,48.102407,-1.787351
2530,Haut Plessis,48.078763,-1.772125
1196,Dinan,48.117181,-1.682302
2437,Betton Centre,48.18162,-1.639271
4208,Grippay,48.057762,-1.77645
1195,Legraverend,48.117788,-1.684992
2438,Mézières,48.18499,-1.65024
3724,Clos des Cerisiers,48.153843,-1.834042
4209,Avenir,48.054115,-1.783746
1198,George Sand,48.116266,-1.668859
2435,Mozart,48.18312,-1.637107
3723,Maison Neuve,48.15406,-1.837815
4206,Mare Doux,48.063257,-1.772312
1197,Sévigné,48.116347,-1.673257
2436,Betton Rue de Rennes,48.175974,-1.63946
4207,Mare Doux,48.063429,-1.772449
1192,La Salle,48.114999,-1.701423
4204,Avenir,48.053984,-1.783762
1191,Languedoc,48.115474,-1.704489
2434,J. Sébastien Bach,48.186441,-1.633092
4205,Grippay,48.0582,-1.776254
1194,Anatole France,48.118173,-1.687217
2431,Mozart,48.182984,-1.637374
4202,Calvaire,48.051992,-1.79066
1193,Maison Diocésaine,48.113738,-1.69804
2432,J. Sébastien Bach,48.186271,-1.633356
4203,Alfred de Musset,48.05512,-1.790086
1578,Lycée Mendès France,48.13335,-1.6839
1190,Villejean-Churchill,48.11739,-1.70835
1574,Binquenais Le Moine,48.090875,-1.661101
1573,Mermoz,48.097045,-1.690278
3924,Bois Esnault,48.000008,-1.696769
4610,Chopinais,48.199223,-1.627788
2441,Mézières,48.184947,-1.649817
4211,Calvaire,48.052438,-1.790592
4210,Alfred de Musset,48.054885,-1.790003
1188,La Salle,48.114898,-1.701959
1189,Languedoc,48.116068,-1.705584
1187,Maison Diocésaine,48.114035,-1.698235
2424,Champ Giron,48.170897,-1.622292
3712,Pont aux Moines,48.150714,-1.824791
1186,Anatole France,48.118577,-1.688167
2425,Tihouït,48.163742,-1.625164
3711,Vigne,48.154152,-1.819988
1185,Legraverend,48.117663,-1.684863
2426,Tihouït,48.164087,-1.624866
3714,Saint-Gilles Centre,48.152522,-1.829773
1184,Dinan,48.117227,-1.681484
2427,Champ Giron,48.17048,-1.621949
1183,Hôtel Dieu,48.117342,-1.678809
2420,Brocéliande,48.180579,-1.652229
2421,Omblais,48.179175,-1.65123
1182,George Sand,48.116298,-1.664773
3710,Fouaye,48.153626,-1.810538
2422,Petite Hublais,48.182171,-1.616139
1181,Musset Cité U,48.116247,-1.662785
2423,Cour Neuve,48.175419,-1.622928
1180,Balzac,48.116193,-1.659373
1589,Jules Maniez,48.097935,-1.703985
1588,Jules Maniez,48.098019,-1.703694
2428,Cour Neuve,48.175562,-1.622799
1587,Cité Judiciaire,48.105915,-1.684405
3715,Clos des Cerisiers,48.153745,-1.834034
2429,Petite Hublais,48.182036,-1.616164
3717,Maison Neuve,48.153985,-1.8376
4603,Pommiers,48.210932,-1.626041
4602,Fonderies,48.214316,-1.628818
4605,Fonderies,48.214395,-1.628958
1591,Jules Verne,48.09891,-1.69368
4604,Pommiers,48.209944,-1.625841
3913,Chemin Vert,48.013,-1.703093
3914,Mouton Blanc,48.010354,-1.701141
1590,Jules Verne,48.098899,-1.69354
4601,Chevaigné Mairie,48.211782,-1.630337
3915,Caliorne,48.006145,-1.698543
3910,Fontaine Blanche,48.016959,-1.705245
3911,Rivaudière,48.01369,-1.707704
2430,Betton Rue de Rennes,48.175999,-1.639619
3912,Pont-Péan Mairie,48.010772,-1.706394
4607,Chevaigné Gare,48.207641,-1.630846
1179,Jeanne d'Arc,48.117043,-1.655802
4606,Chevaigné Mairie,48.211961,-1.630307
4609,Chopinais,48.199145,-1.627451
1177,Beaulieu Restau U,48.122317,-1.639592
4608,Chevaigné Gare,48.207963,-1.630549
1178,Beaulieu Cité U,48.120832,-1.643865
2455,Renaudais,48.183285,-1.65463
2456,Pont Brand,48.178784,-1.660945
2453,Chaperonnais,48.175463,-1.662268
2454,Renaudais,48.183218,-1.654765
2457,Pont Brand,48.17899,-1.660557
2458,Gentilhommière,48.190991,-1.628981
1596,Clotilde Vautier,48.125861,-1.668462
1595,Charles de Gaulle,48.105833,-1.6773
3732,Ile des Bois,48.14933,-1.839024
2448,Trégor,48.183888,-1.646449
2449,Trégor,48.183594,-1.646306
1199,Musset Cité U,48.116147,-1.662569
2452,Chaperonnais,48.175446,-1.662388
2451,Gentilhommière,48.19085,-1.629331
4851,Chapelle-Chaussée,48.272026,-1.856733
4454,Terseul,48.180941,-1.844779
4453,Clayes Centre,48.176019,-1.85261
4452,Croix Simon,48.181419,-1.853554
4451,Clairville,48.180991,-1.850524
4255,Grippière,48.12143,-1.83765
4256,Piardière,48.122037,-1.846175
4253,Piardière,48.121939,-1.846158
4254,Grippière,48.121285,-1.837645
4070,Besneraie,48.183016,-1.726386
3964,Lande Saint-Denis,48.203759,-1.594768
4252,Rochers,48.123011,-1.860726
3962,Chesnais,48.223126,-1.576679
3961,Bourg,48.217752,-1.581363
3960,Terrain des Sports,48.214637,-1.586893
4653,Saint-Melaine,48.103336,-1.869545
4654,Saint-Melaine,48.103469,-1.869393
4652,Chêne Vert,48.105043,-1.872646
4257,Rochers,48.123122,-1.860835
4460,La Cour aux Pages,48.178058,-1.852853
4459,La Cour aux Pages,48.178132,-1.85278
4264,Place de la Mairie,48.123069,-1.865899
3954,Terrain des Sports,48.21475,-1.586501
3953,Bourg,48.217907,-1.581457
3956,Oliverie,48.199844,-1.597564
4267,Ville aux Archers,48.122595,-1.868366
3955,Tronchay,48.211688,-1.590809
4455,Terseul,48.180907,-1.845046
4457,Clayes Centre,48.176249,-1.852479
3952,Chesnais,48.223261,-1.576352
4458,Croix Simon,48.182349,-1.853067
3951,Cropy,48.225212,-1.570409
4850,Chapelle-Chaussée,48.271961,-1.856918
3958,Lande Saint-Denis,48.203176,-1.595
3957,Oliverie,48.197535,-1.599247
3959,Tronchay,48.211771,-1.590509
3500,Silandière,48.163969,-1.731752
3707,Pont aux Moines,48.150683,-1.825279
3501,Fougerolle,48.157089,-1.723308
3705,Saint-Gilles Centre,48.15298,-1.829806
3504,Courtines,48.157226,-1.714447
3505,Belle Epine,48.155304,-1.710895
3708,Vigne,48.152801,-1.820678
3502,Pierre Texier,48.155655,-1.720614
3709,Fouaye,48.152952,-1.809229
3503,Montgermont Mairie,48.15574,-1.71654
3508,Vizeule,48.148382,-1.703613
3509,Métrie,48.153005,-1.708878
4269,Place de la Mairie,48.123099,-1.866053
3506,Décoparc,48.152987,-1.706581
3507,Vizeule,48.148918,-1.704108
4053,Métairie,48.17951,-1.729201
4054,Mairie,48.177108,-1.732207
4057,Sénestrais,48.170401,-1.736205
4270,Ville aux Archers,48.122657,-1.868554
4058,Viennais,48.173991,-1.735178
4055,Viennais,48.174111,-1.735204
4056,Sénestrais,48.17016,-1.736188
4059,Mairie,48.17669,-1.732757
4060,Métairie,48.179271,-1.729299
4062,La Brosse,48.176749,-1.722096
4066,Quatre Vents,48.168594,-1.742983
4067,Quatre Vents,48.168976,-1.74251
4069,Besneraie,48.183129,-1.726001
4408,Le Verger Eglise,48.070227,-1.932356
1108,Gayeulles,48.128344,-1.652232
1395,De Lesseps,48.101013,-1.706956
1106,Gayeulles Piscine,48.134264,-1.652215
1396,Champion de Cicé,48.102182,-1.705063
1107,Le Blizz,48.13087,-1.652121
1393,Récipon,48.097814,-1.707641
1104,Hôtel de Région,48.134745,-1.658572
1394,Guérinais,48.099043,-1.705513
1105,Héronière,48.1355,-1.655711
4401,Le Verger Eglise,48.070078,-1.932395
1391,Clinique La Sagesse,48.101056,-1.711799
1102,Donelière,48.131357,-1.684599
1392,Montand,48.099871,-1.711154
1103,Saint-Laurent,48.138802,-1.659072
4403,Bouvrais,48.070056,-1.930273
1100,Cimetière Nord,48.12503,-1.681973
4402,Bouvrais,48.070241,-1.928997
1390,Cleunay,48.104175,-1.713394
1101,Trois Croix,48.127266,-1.68326
1389,Clinique La Sagesse,48.101249,-1.71181
1388,Montand,48.099353,-1.711217
1387,Récipon,48.098044,-1.708181
1386,Guérinais,48.098922,-1.705488
1382,Voltaire,48.105074,-1.698818
1383,Dargent,48.103589,-1.700048
1384,Champion de Cicé,48.102651,-1.703856
1385,De Lesseps,48.100655,-1.707006
1381,Malakoff,48.105128,-1.696468
1376,Europe,48.128579,-1.657192
1375,Gast,48.130103,-1.656774
1378,Saint-Exupéry,48.124958,-1.661404
1377,Trégain,48.126826,-1.65857
1124,Jacques Cartier,48.097396,-1.675489
1125,Sacrés Coeurs,48.096926,-1.679166
1122,Gare Sud Féval,48.103006,-1.676882
1123,Ginguené,48.099181,-1.675756
1128,Champs Manceaux,48.09107,-1.682187
1129,Suède,48.087271,-1.682479
1126,Garigliano,48.096023,-1.681712
1127,Frères Moine,48.093042,-1.681932
1130,Canada,48.085168,-1.682537
1111,Docteur Quentin,48.120189,-1.65077
1112,Vitré Danton,48.11893,-1.651063
1113,Jeanne d'Arc,48.116369,-1.655681
1114,Durafour,48.114521,-1.658017
1115,Oberthur,48.113459,-1.661409
1116,Saint-Vincent,48.112746,-1.664452
1117,Châteaudun,48.112528,-1.666797
1118,Thabor,48.111816,-1.671244
1398,Voltaire,48.105225,-1.698672
1397,Dargent,48.103598,-1.700369
1399,Malakoff,48.105015,-1.69546
1121,Charles de Gaulle,48.106067,-1.677817
1120,République,48.10997,-1.67795
1149,Durafour,48.114248,-1.658666
1148,Oberthur,48.113405,-1.661265
1147,Saint-Vincent,48.112666,-1.664346
1146,Thabor,48.111897,-1.671083
1144,République,48.110073,-1.677735
1346,Hôpital Sud,48.084724,-1.655211
1151,Vitré Danton,48.118733,-1.651589
1347,Torigné,48.084769,-1.657925
1152,Docteur Quentin,48.120615,-1.650675
1344,Galicie,48.0877,-1.650088
1150,Jeanne d'Arc,48.116588,-1.65539
1342,Pologne,48.091175,-1.651756
1343,La Poterie,48.087643,-1.645966
1138,Garigliano,48.096363,-1.681543
1137,Frères Moine,48.093597,-1.681809
1341,Landrel,48.091222,-1.654578
1340,Gide,48.091996,-1.658498
1139,Sacrés Coeurs,48.096914,-1.678484
1134,Canada,48.085207,-1.682259
1136,Champs Manceaux,48.091086,-1.682019
1135,Suède,48.088085,-1.68215
1339,Langevin,48.094676,-1.658629
1335,Ormeaux,48.097705,-1.6684
1140,Jacques Cartier,48.097421,-1.674416
1336,Bigot de Préameneu,48.097982,-1.666405
1141,Ginguené,48.100009,-1.675803
1337,Sainte-Thérèse,48.097532,-1.66289
1338,Leray,48.09502,-1.661622
1143,Charles de Gaulle,48.106081,-1.677558
1331,Square de la Rance,48.118043,-1.680797
1333,Jacques Cartier,48.097824,-1.675165
1334,Châtillon,48.097716,-1.6713
1370,Lenoir,48.121947,-1.683469
