arretId,correspondanceId,distance
prega1,saens2,117
prega1,prega2,9
prega2,saens2,110
prega2,prega1,9
chataig2,chataig1,18
chataig1,chataig2,18
pigeonb1,pisbreq1,136
pigeonb1,pisbreq2,143
pigeonb1,pigblan1,69
pigeonb1,pigblan2,71
pigeonb1,pigeonb2,12
pigeonb2,pisbreq1,149
pigeonb2,pisbreq2,155
pigeonb2,pigblan1,78
pigeonb2,pigblan2,67
pigeonb2,pigeonb1,12
leho2,lemaist1,168
leho2,lemaist2,118
leho2,lehosu1,135
leho2,leho1,13
leho1,lemaist1,169
leho1,lemaist2,126
leho1,lehosu1,146
leho1,leho2,13
buhoti1,buhoti2,8
buhoti2,buhoti1,8
pisccha1,pisccha2,13
pisccha2,pisccha1,13
hublais2,hublais1,190
chavaux2,chavaux1,31
hublais1,hublais2,190
duannno2,duanno1,14
besner2,besner1,14
besner1,besner2,14
gares1,gare1,55
gares1,gare2,9
gares1,magenta2,199
rochest2,rochest1,103
chavaux1,chavaux2,31
bellang2,belscor2,75
bellang2,belscor1,73
bellang2,bellang1,44
bellang1,belscor2,94
bellang1,belscor1,100
bellang1,bellang2,44
rochest1,brno1,157
rochest1,brno2,117
rochest1,rochest2,103
rablais1,rablais2,36
valvez1,valvez2,16
repjoffa,repto1,39
repjoffa,repjof2,15
repjoffa,repjof3,26
repjoffa,repjof4,25
repjoffa,repx2,116
repjoffa,repwe,128
repjoffa,repwb,70
repjoffa,ptnemoun,169
repjoffa,ptnemous,170
repjoffa,repjaurs,32
repjoffa,repjaurn,41
repjoffa,repea,65
repjoffa,repbottb,65
repjoffa,mairieb,183
repjoffa,repbottc,129
stlaur,stlaur19,45
stlaur,stlaure2,63
stlaur,stlaure1,99
valvez2,valvez1,16
gretay2,gretay1,19
