arretId,correspondanceId,distance
repwb,repjof2,59
repwb,repjof3,55
repwb,repjof4,86
repwb,repx2,48
repwb,repwe,59
repwb,nemours2,193
repwb,ptnemoun,99
repwb,ptnemous,100
repwb,repjaurs,78
repwb,repjaurn,83
repwb,repea,6
repwb,repbottb,59
repwb,mairieb,134
repwb,repbottc,81
repwb,repjoffa,70
senestr2,senestr1,48
lychate2,lychate1,33
lychate2,lycurie1,139
lychate2,lycurie2,185
colbour2,colbour1,54
bigopre1,ormeaux1,159
bigopre1,ormeaux2,100
bigopre1,bigopre2,46
bigopre2,ormeaux2,144
bigopre2,bigopre1,46
senestr1,senestr2,48
lychate1,lychate2,33
lychate1,lycurie1,168
closco31,closco30,74
closco31,closco,70
closco31,ccourte1,152
closco31,ccourte2,178
belair1,belair2,175
closco30,closco31,74
closco30,closco,4
closco30,ccourte1,80
closco30,ccourte2,105
belair2,belair1,175
janaich1,janaich2,61
plbaud2,plbaud1,111
plbaud2,piletie2,192
plbaud2,piletie1,149
renaiss1,renaiss2,5
renaiss2,renaiss1,5
gide2,gide1,43
janaich2,janaich1,61
gide1,gide2,43
gide1,langevi1,199
plbaud1,plbaud2,111
plbaud1,piletie2,183
grimaul2,grimaul1,31
grimaul1,grimaul2,31
silandi1,siland2,164
garvern2,garvern1,47
saules1,saules2,53
garvern1,garvern2,47
saules2,saules1,53
arsenal1,arsenal2,73
arsenal1,plelo2,180
arsenal1,arsenta2,97
painlen1,painlev1,83
painlen1,painlev2,38
keratry2,keratry1,119
bersand1,bignoch2,146
bersand1,bignoch1,163
arsenal2,arsenal1,73
arsenal2,arsenta2,59
keratry1,keratry2,119
cartier1,cartier3,49
cartier1,cartier2,54
cartier1,ginguen1,166
cartier1,ginguen2,162
cartier3,cartier1,49
cartier3,cartier2,61
cartier2,cartier1,54
cartier2,cartier3,61
patimor2,patimor1,72
boulais2,macceui1,195
boulais2,macceui2,183
boulais2,boulais1,6
boulais2,boulais3,74
boulais2,boullac1,91
patimor1,patimor2,72
boulais1,macceui1,200
boulais1,macceui2,188
boulais1,boulais2,6
boulais1,boulais3,69
boulais1,boullac1,86
vitrpeg2,quentin2,108
vitrpeg2,quentin1,87
vitrpeg2,vitrpeg1,32
vitrpeg2,vitrfou2,143
vitrpeg2,vitrfou1,116
vitrpeg2,vitrdan1,66
vitrpeg2,vitrdan2,89
clairef1,clairef2,42
vitrpeg1,quentin2,92
vitrpeg1,quentin1,73
vitrpeg1,vitrpeg2,32
vitrpeg1,vitrfou2,170
vitrpeg1,vitrfou1,147
vitrpeg1,vitrdan1,95
vitrpeg1,vitrdan2,105
ptpaste1,zola1,131
ptpaste1,ptpastm1,75
ptpaste1,ptpastm2,81
ptpaste1,ppaskl2,91
boulais3,boulais2,74
boulais3,boulais1,69
boulais3,boullac1,17
belaive1,belaive2,17
belaive2,belaive1,17
apigne1,apigne2,35
clairef2,clairef1,42
apigne2,apigne1,35
chatill1,ormeaux1,145
chatill1,chatill2,13
chatill2,ormeaux1,158
chatill2,chatill1,13
church2,church1,9
church1,church2,9
chalota2,chalota1,40
chalota2,bordage2,171
chalota2,bordage1,159
chalota1,chalota2,40
chalota1,bordage1,196
cmonnet2,cmonnet1,38
cmonnet1,cmonnet2,38
stagare1,stagare2,12
stagare2,stagare1,12
mozart1,mozart2,14
mozart1,drlaene,167
mozart2,mozart1,14
mozart2,drlaene,180
etgstg2,etgstg1,31
etgstg1,etgstg2,31
lydesca2,lydesca1,57
lydesca1,lydesca2,57
nomi2,chaeau2,185
nomi2,chaeau1,137
nomi2,nomi1,27
nomi1,chaeau2,190
nomi1,chaeau1,136
nomi1,nomi2,27
robinot1,robinot2,31
robinot2,robinot1,31
hautier1,hautier2,52
forum1,forum2,15
forum1,breil2,193
duchann1,duchann2,69
duchann1,brizeux2,179
hautier2,hautier1,52
forum2,forum1,15
duchann2,duchann1,69
duanpa1,duanpa2,14
duanpa1,lebrix1,102
duanpa1,lebrix2,134
duanpa2,duanpa1,14
duanpa2,lebrix1,88
duanpa2,lebrix2,125
viennai1,viennai2,72
eglmord1,eglmord2,31
eglmord2,eglmord1,31
gallet1,gallet2,39
viennai2,viennai1,72
gallet2,gallet1,39
gallet2,bouzat1,185
veyette1,veyette2,7
lemaist1,lemaist2,91
lemaist1,leho2,168
lemaist1,leho1,169
gdefont2,gdefont1,170
lemaist2,lemaist1,91
lemaist2,lehosu1,178
lemaist2,leho2,118
lemaist2,leho1,126
gdefont1,gdefont2,170
centenf1,centenf2,5
bgstsul2,bgstsul1,21
centenf2,centenf1,5
airlande,lyjmou2,160
airlande,martisj2,51
airlande,martisj1,81
morinai2,morinai1,24
bgstsul1,bgstsul2,21
morinai1,morinai2,24
colvern2,colvern1,11
colvern1,colvern2,11
veyette2,veyette1,7
stmarti2,stmarti1,40
stmarti2,cimnord2,192
stmarti2,cimnord1,164
stmarti2,iufm2,177
lycurie1,lychate2,139
lycurie1,lychate1,168
lycurie1,lycurie2,48
lycurie1,lycurie3,168
lycurie1,lycurie4,165
lycurie2,lychate2,185
lycurie2,lycurie1,48
lycurie2,lycurie3,128
lycurie2,lycurie4,133
lycurie2,lycurie5,187
lycurie3,lycurie1,168
lycurie3,lycurie2,128
lycurie3,lycurie4,38
lycurie3,lycurie5,147
lycurie3,rdptgay1,154
nemours1,nemours2,41
nemours1,repbottb,187
nemours1,repbottc,151
lycurie4,lycurie1,165
lycurie4,lycurie2,133
lycurie4,lycurie3,38
lycurie4,lycurie5,185
lycurie4,rdptgay1,184
drlaen1,drlaen2,115
drlaen1,drlaene,81
nemours2,repjof3,197
nemours2,repx2,167
nemours2,repwe,177
nemours2,repwb,193
nemours2,nemours1,41
nemours2,ptnemoun,189
nemours2,ptnemous,181
nemours2,repea,191
nemours2,repbottb,159
nemours2,repbottc,114
lycurie5,lycurie2,187
lycurie5,lycurie3,147
lycurie5,lycurie4,185
lycurie5,rdptgay2,186
lycurie5,rdptgay1,119
chopi2,chopi1,5
drlaen2,drlaen1,115
drlaen2,drlaene,56
drlaen2,mabetto1,186
drlaen2,mabetto2,147
chopi1,chopi2,5
gaite2,gaite1,42
gaite2,gaitedo1,140
gaite2,gaitedo2,64
roncera2,roncera1,15
gaite1,gaite2,42
gaite1,gaitedo1,124
gaite1,gaitedo2,63
drlaene,mozart1,167
drlaene,mozart2,180
drlaene,drlaen1,81
drlaene,drlaen2,56
