direction_id,ligne_id,id,calendrier_id,macro_direction
78,0053,16204,45,0
78,0053,16203,79,0
78,0053,16209,45,0
78,0053,16208,79,0
78,0053,16207,77,0
78,0053,16525,60,0
78,0053,16524,59,0
14,0053,16523,60,1
14,0053,16522,59,1
14,0053,16529,60,1
14,0053,16528,59,1
78,0053,16527,60,0
78,0053,16526,59,0
78,0053,16594,59,0
78,0053,16593,60,0
78,0053,16592,59,0
78,0053,16591,60,0
78,0053,16598,59,0
78,0053,16597,60,0
78,0053,16596,59,0
78,0053,16595,60,0
78,0053,16590,59,0
78,0053,16599,60,0
14,0053,16572,59,1
14,0053,16571,60,1
14,0053,16570,59,1
78,0053,16576,59,0
78,0053,16575,60,0
78,0053,16574,59,0
14,0053,16573,60,1
78,0053,16579,60,0
78,0053,16578,59,0
78,0053,16577,60,0
78,0053,16583,60,0
78,0053,16582,59,0
78,0053,16581,60,0
78,0053,16580,59,0
78,0053,16587,60,0
78,0053,16586,59,0
78,0053,16585,60,0
78,0053,16584,59,0
78,0053,16589,60,0
78,0053,16588,59,0
14,0053,16550,59,1
14,0053,16554,59,1
14,0053,16553,60,1
14,0053,16552,59,1
14,0053,16551,60,1
14,0053,16558,59,1
14,0053,16557,60,1
14,0053,16556,59,1
14,0053,16555,60,1
14,0053,16559,60,1
14,0053,16561,60,1
14,0053,16560,59,1
14,0053,16565,60,1
14,0053,16564,59,1
14,0053,16563,60,1
14,0053,16562,59,1
14,0053,16569,60,1
14,0053,16568,59,1
14,0053,16567,60,1
14,0053,16566,59,1
14,0053,16532,59,1
14,0053,16531,60,1
14,0053,16530,59,1
14,0053,16536,59,1
14,0053,16535,60,1
14,0053,16534,59,1
14,0053,16533,60,1
14,0053,16539,60,1
14,0053,16538,59,1
14,0053,16537,60,1
14,0053,16543,60,1
14,0053,16542,59,1
14,0053,16541,60,1
14,0053,16540,59,1
14,0053,16547,60,1
14,0053,16546,59,1
14,0053,16545,60,1
14,0053,16544,59,1
14,0053,16549,60,1
14,0053,16548,59,1
14,0053,16631,20,1
14,0053,16630,19,1
14,0053,16635,20,1
14,0053,16634,19,1
14,0053,16633,18,1
14,0053,16632,17,1
14,0053,16639,20,1
14,0053,16638,19,1
14,0053,16637,18,1
14,0053,16636,17,1
78,0053,16642,19,0
78,0053,16641,18,0
78,0053,16640,17,0
78,0053,16646,19,0
78,0053,16645,18,0
78,0053,16644,17,0
78,0053,16643,20,0
78,0053,16649,18,0
78,0053,16648,17,0
78,0053,16647,20,0
14,0053,16619,60,1
14,0053,16618,59,1
78,0053,16613,60,0
78,0053,16612,59,0
78,0053,16611,60,0
78,0053,16610,59,0
78,0053,16617,60,0
78,0053,16616,59,0
78,0053,16615,60,0
78,0053,16614,59,0
78,0053,16620,17,0
14,0053,16629,18,1
14,0053,16624,17,1
78,0053,16623,20,0
78,0053,16622,19,0
78,0053,16621,18,0
14,0053,16628,17,1
14,0053,16627,20,1
14,0053,16626,19,1
14,0053,16625,18,1
78,0053,16609,60,0
78,0053,16608,59,0
78,0053,16607,60,0
78,0053,16602,59,0
78,0053,16601,60,0
78,0053,16600,59,0
78,0053,16606,59,0
78,0053,16605,60,0
78,0053,16604,59,0
78,0053,16603,60,0
78,0053,16671,20,0
78,0053,16670,19,0
14,0053,16653,18,1
14,0053,16652,17,1
78,0053,16651,20,0
78,0053,16650,19,0
14,0053,16657,18,1
14,0053,16656,17,1
14,0053,16655,20,1
14,0053,16654,19,1
14,0053,16659,20,1
14,0053,16658,19,1
14,0053,16660,17,1
78,0053,16664,17,0
14,0053,16663,20,1
14,0053,16662,19,1
14,0053,16661,18,1
78,0053,16668,17,0
78,0053,16667,20,0
78,0053,16666,19,0
78,0053,16665,18,0
78,0053,16669,18,0
36,0054,56412,41,1
36,0054,56413,51,1
36,0054,56414,67,1
36,0054,56415,26,1
36,0054,56410,26,1
36,0054,56411,34,1
36,0054,56416,34,1
36,0054,56417,41,1
36,0054,56418,51,1
36,0054,56419,67,1
36,0054,56423,51,1
36,0054,56424,67,1
36,0054,56425,26,1
36,0054,56426,34,1
36,0054,56420,26,1
36,0054,56421,34,1
36,0054,56422,41,1
36,0054,56427,41,1
36,0054,56428,51,1
36,0054,56429,67,1
36,0054,56434,67,1
36,0054,56435,26,1
36,0054,56436,34,1
36,0054,56437,41,1
