ligne_id,arret_id,forward,backward
TBC04_04,TBC2821STC84R,0,1
TBC04_04,TBC2824HLV46A,1,0
TBC04_04,TBC2830JEA45R,0,1
TBC04_04,TBC2847MDQ45A,1,0
TBC04_04,TBC2850BRE46A,1,0
TBC04_04,TBC2852CAPBOS,1,0
TBC04_04,TBC293RAD46R,0,1
TBC04_04,TBC297LBRO9R,0,1
TBC04_04,TBC309MOZ45A,1,0
TBC04_04,TBC310BER01A,1,0
TBC04_04,TBC3216GBA04R,0,1
TBC04_04,TBC3250GAU01R,0,1
TBC04_04,TBC3530AND23A,1,0
TBC04_04,TBC3547REP16A,0,1
TBC04_04,TBC3558TOU51R,0,1
TBC04_04,TBC3559JPU51R,0,1
TBC04_04,TBC3858PJU16A,0,1
TBC04_04,TBC391COS45R,0,1
TBC04_04,TBC4031PJUS16,1,0
TBC04_04,TBC428STR45A,1,0
TBC04_04,TBC455NAV45A,1,0
TBC04_04,TBC4770HAM44R,1,0
TBC04_04,TBC4771HAM44A,0,1
TBC04_04,TBC4772DAU44R,1,0
TBC04_04,TBC480SEM45A,1,0
TBC04_04,TBC5070PHT45A,1,0
TBC04_04,TBC514CAR46R,0,1
TBC04_04,TBC524BEA46A,1,0
TBC04_04,TBC5290CBO46R,0,1
TBC04_04,TBC5524ACI45A,1,0
TBC04_04,TBC5525ACI45R,0,1
TBC04_04,TBC5621GBA04A,1,0
TBC04_04,TBC5653STC23R,1,0
TBC04_04,TBC633HLI46R,0,1
TBC04_04,TBC693VAI83A,0,1
TBC04_04,TBC713GAU01A,1,0
TBC04_04,TBC772HLI46A,1,0
TBC04_04,TBC77514J45A,1,0
TBC04_04,TBC917PCA04A,1,0
TBC04_04,TBC922MAR01R,0,1
TBC04_04,TBC951PIC01R,0,1
TBC04_04,TBC954BRE46R,0,1
TBC05_05,TBC1014TIL20A,0,1
TBC05_05,TBC1026BOY55A,1,0
TBC05_05,TBC1046CGR37A,1,0
TBC05_05,TBC1066FON55A,1,0
TBC05_05,TBC1068CAN55R,0,1
TBC05_05,TBC10LIB55A,1,0
TBC05_05,TBC1115CAL57A,1,0
TBC05_05,TBC1133MOL37R,0,1
TBC05_05,TBC1157PAR55R,0,1
TBC05_05,TBC1215HIP54A,1,0
