stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1443,1443,Binquenais Collège,Rennes,48.09158703,-1.662329171,,,,
1449,1449,Norvège,Rennes,48.08682379,-1.683075702,,,,
1450,1450,Coubertin,Rennes,48.08665851,-1.688371873,,,,
1451,1451,Lycée Bréquigny,Rennes,48.08683441,-1.691273482,,,,
2103,2103,Rigourdière,Cesson-Sévigné,48.11334832,-1.590016327,,,,
2104,2104,Haut Grippé,Cesson-Sévigné,48.11491856,-1.590425216,,,,
2101,2101,Saint Etienne,Cesson-Sévigné,48.13172608,-1.597901955,,,,
2102,2102,Erbonière,Cesson-Sévigné,48.10616939,-1.625898628,,,,
2105,2105,Chêne Germain,Cesson-Sévigné,48.13105331,-1.62462479,,,,
2106,2106,Champelé,Cesson-Sévigné,48.11603921,-1.582351255,,,,
1409,1409,Joliot Curie,Rennes,48.12687028,-1.653165271,,,,
1405,1405,Europe,Rennes,48.12834452,-1.657146018,,,,
1406,1406,Gast,Rennes,48.13074039,-1.656509046,,,,
1407,1407,Longs Prés,Rennes,48.13305845,-1.656700026,,,,
1408,1408,Vitré Péguy,Rennes,48.11971484,-1.651296277,,,,
1401,1401,Inkermann,Rennes,48.10562192,-1.687766916,,,,
1402,1402,Cité Judiciaire,Rennes,48.10558068,-1.685179136,,,,
1403,1403,Saint Exupéry,Rennes,48.12522631,-1.661004356,,,,
1404,1404,Trégain,Rennes,48.12676756,-1.658501444,,,,
1400,1400,Mabilais,Rennes,48.10541285,-1.689847957,,,,
1204,1204,Beaulieu INSA,Rennes,48.11947652,-1.635390054,,,,
1203,1203,Beaulieu Restau U,Rennes,48.12203301,-1.639599402,,,,
1206,1206,Tremblaie,Rennes,48.10015772,-1.631541896,,,,
1205,1205,Veyettes,Rennes,48.09712076,-1.629230324,,,,
1200,1200,Jeanne d'Arc,Rennes,48.11682755,-1.656386204,,,,
1202,1202,Beaulieu Cité U,Rennes,48.12062049,-1.644335209,,,,
1201,1201,Vitré Foulon,Rennes,48.11911265,-1.649197009,,,,
1208,1208,Saint Saëns,Rennes,48.1041163,-1.637689384,,,,
1207,1207,Pré Garel,Rennes,48.10349005,-1.634592916,,,,
1209,1209,Pavie,Rennes,48.10500816,-1.644564152,,,,
2749,2749,Touche Tizon,Noyal-Châtillon-sur-Seiche,48.05590392,-1.701130681,,,,
3005,3005,Chantepie Eglise,Chantepie,48.08822107,-1.616907242,,,,
3006,3006,Chantepie Mairie,Chantepie,48.08879927,-1.620549979,,,,
3003,3003,Bourgogne,Chantepie,48.08911848,-1.61263999,,,,
3004,3004,Hallouvry,Chantepie,48.09034404,-1.615868382,,,,
